tweet_id|user_id|latitude|longitude|language|loc_type|send_time|text
713697979471802368|81364925|-8.725478|115.162057|en|Geotag|Sat Mar 26 12:03:52 +0000 2016|"😷 been here for 4 days now because of dengue fever\nShe took care of me… (w/ Lenny at @siloamhospitals) [pic] — https://t.co/mriwXk4Btl"
713736831364235264|117347088|14.5995124|120.9842195|en|User profile|Sat Mar 26 14:38:15 +0000 2016|"Apparently Dengue Ig M is positive. 😩"
714136490981240832|257102674|3.1278871|101.5944885|en|User profile|Sun Mar 27 17:06:22 +0000 2016|"@IskandarLamsah take good care of urself. If dengue lagi, take plenty of fluid"
714193707449253888|564144791|40.0149856|-105.2705456|en|User profile|Sun Mar 27 20:53:43 +0000 2016|"@CatonDylan this gave me dengue fever"
714554418474065921|897114775|32.715738|-117.1610838|en|User profile|Mon Mar 28 20:47:03 +0000 2016|"hey forreal tho, send some love to @KageSatsuki who was diagnosed with dengue fever."
714782114613489664|73679965|3.139003|101.686855|en|User profile|Tue Mar 29 11:51:50 +0000 2016|"@ayusabrina_asas oh thank you :) It's dengue though, unfortunately. This means the fever keeps coming and going. Til the platelets win over!"
714824079581253632|703526562696531969|21.1702401|72.8310607|en|User profile|Tue Mar 29 14:38:36 +0000 2016|"@richaanirudh @sandythebhatia Have Dengue virus.Need ur blessings.I'm also ur big big fan."
714836014573834241|2150750523|9.9630895|78.1433485|en|Geotag|Tue Mar 29 15:26:01 +0000 2016|"@Nanditasweta My beloved friend 👉 @Vaira_Ganesh 👈 One Of Your Admirer Suffering From dengue Fever 😭 Please Pray Him For Speedy Recovery. 😞"
715796892408479744|195263928|-8.6704582|115.2126293|en|User profile|Fri Apr 01 07:04:12 +0000 2016|"Dengue outbreak suspected in Nusa Dua area - Coconuts Bali https://t.co/JluguNmwNS #badung #balitoday"
717968477290532864|17440806|-29.6650922|150.4082104|en|User profile|Thu Apr 07 06:53:18 +0000 2016|"@CollisBunker haha a bit slow but I walked 7km on Monday along the rail corridor - so happy I am doing more exercise post dengue fever"
718356306130837504|2544942853|3.073281|101.518461|en|User profile|Fri Apr 08 08:34:24 +0000 2016|"@TwtLelaki yeah sad btw. Please pray for my bro, he's admitted dengue right now. he's my bestfriend. risau smpai tak tido bila dia sakit."
718601673090985984|190371395|34.0653207|-118.5505894|en|User profile|Sat Apr 09 00:49:24 +0000 2016|"@SANTINORICE sorry to hear your travel companions caught dengue fever! 😬"
718762310798598145|2915222537|-22.9068467|-43.1728965|en|User profile|Sat Apr 09 11:27:43 +0000 2016|"@ribboneels pleas, it's the fifth time I get dengue. even got hospitalized on Thursday aaaa"
719858691667677184|826647816|45.5130916|-73.5583918|en|User profile|Tue Apr 12 12:04:21 +0000 2016|"@zappedvocals why would u do that 😰 thats very bad. hows your dengue btw"
719881826194444288|190963061|35.0748816|-89.9266737|en|User profile|Tue Apr 12 13:36:16 +0000 2016|"@Josie614 @suckatsports Longer: It is just a mild form of Dengue Fever, so we know exactly what it does."
720234214256287744|231422245|28.6384895|77.095086|en|Geotag|Wed Apr 13 12:56:32 +0000 2016|"How much shud I thank Kailash Hospital..Gave me my daughter &amp; now son, saved earlier frm dengue..All satisfied faces @dr_maheshsharma tx Sir"
720237132300754944|568499332|2.926361|101.696445|en|User profile|Wed Apr 13 13:08:08 +0000 2016|"@AirAsiaId can I change my flight date, cause I just know that I infected by dengue..."
720364162724077568|2773063690|-19.918692|-43.9598225|en|Geotag|Wed Apr 13 21:32:54 +0000 2016|"Bct to com dengue ... Af"
