tweet_id|user_id|latitude|longitude|language|loc_type|send_time|text
713697979471802368|81364925|-8.725478|115.162057|en|Geotag|Sat Mar 26 12:03:52 +0000 2016|"😷 been here for 4 days now because of dengue fever\nShe took care of me… (w/ Lenny at @siloamhospitals) [pic] — https://t.co/mriwXk4Btl"
713699216590241792|112988041|-19.9166813|-43.9344931|pt|User profile|Sat Mar 26 12:08:47 +0000 2016|"Deus tira essa dengue de mim"
713700526517587972|225560027|-19.9166813|-43.9344931|pt|User profile|Sat Mar 26 12:14:00 +0000 2016|"@patynunes_13 \nNgm merece dengue. Trem ruim demais."
713703641769766912|297496286|-3.1190275|-60.0217314|pt|User profile|Sat Mar 26 12:26:22 +0000 2016|"hj eh aniversário da sogra mais linda do mundão e mesmo com dengue cheia das pinta vermelha eu vou lá"
713704763712475136|1950163880|-20.564274|-43.0197795|pt|Geotag|Sat Mar 26 12:30:50 +0000 2016|"Que raiva dessa dengue"
713705768378347520|1548675061|-22.306884|-42.4672675|pt|Geotag|Sat Mar 26 12:34:49 +0000 2016|"Vou ver minha mãe,  ela ta com dengue 😢😡"
713711801859489792|410897713|28.2143574|-82.7350514|pt|User profile|Sat Mar 26 12:58:48 +0000 2016|"@htgawlexa eu tava c dengue menina! Quase morri de tanta dor"
713711977193979904|285261648|-19.918692|-43.9598225|pt|Geotag|Sat Mar 26 12:59:30 +0000 2016|"acordei e descobri que to com dengue\nda próxima vez ao invés de chupar meu sangue chupe meu pau mosquito filho da puta"
713713130229080068|4242919815|-17.7445191|-48.6250248|pt|User profile|Sat Mar 26 13:04:05 +0000 2016|"putissima e com dengue"
713715216903774208|1069380884|-33.227158|-60.3298704|es|User profile|Sat Mar 26 13:12:22 +0000 2016|"Día espantoso. Alergia total. Casi gripe. Caída inmunológica. Vecino con Dengue. Según infectología 27 en zona A cuidarse.Ayer desinfectaron"
713717252193787904|712058742167216128|-23.5505199|-46.6333094|pt|User profile|Sat Mar 26 13:20:27 +0000 2016|"@coegioo peguei dengue ai, cuidado"
713720237120733184|621274478|-34.5281205|-58.473816|es|User profile|Sat Mar 26 13:32:19 +0000 2016|"Con dengue y todo , hoy es looppppp"
