tweet_id|user_id|latitude|longitude|language|loc_type|send_time|text
713696828374523905|2998988656|-7.1194958|-34.8450118|pt|User profile|Sat Mar 26 11:59:18 +0000 2016|"@maisasilva será que é Zika? 😭"
713697100429729796|1558702537|-34.8153325|-58.4730425|es|Geotag|Sat Mar 26 12:00:23 +0000 2016|"a causa del zika q tengo me despierto a esta hora"
713697228293029888|3699539717|-22.8822363|-43.3245974|pt|User profile|Sat Mar 26 12:00:53 +0000 2016|"Acho q to com zika😱"
713697593792966656|2284025749|-2.5391099|-44.2829046|pt|User profile|Sat Mar 26 12:02:20 +0000 2016|"Alguém conhece alguém que tenha pegado zika mais de uma vez? 󾰕"
713697910014218240|2162090761|-22.9681736|-43.3907025|pt|User profile|Sat Mar 26 12:03:36 +0000 2016|"@leletoli sai pra lá zika vírus"
713698030856220672|1718267329|14.6760413|121.0437003|tl|User profile|Sat Mar 26 12:04:05 +0000 2016|"RT @ckeidelrosario: @deguzmankai ang result ng sakin siguro positive. Positive na may zika virus na ko dahil di ako nagpa dengvaxia sa Poin…"
713698058538762240|812937073|-27.3295727|-58.9502013|es|User profile|Sat Mar 26 12:04:11 +0000 2016|"RT @gustavobonzon: @chichodisanto Un mamarracho. Con un folletito que diga qué es el #Zika y con Google Maps para ver hospitales sobra. htt…"
713698174188318721|713695964205293568|-8.8137173|-36.954107|und|User profile|Sat Mar 26 12:04:39 +0000 2016|"Esse Aedes aegypti( Dengue, Zika Virus, Chikungunya) esta Foda✌"
713698462186020864|2672605672|-32.4665434|-58.4787669|pt|User profile|Sat Mar 26 12:05:47 +0000 2016|"Bom dia... Acho que to com zika"
713698603181604865|3081368751|-32.6610328|-62.1161442|pt|User profile|Sat Mar 26 12:06:21 +0000 2016|"@marcellosiilv9  Seu cu Zika virus 🖕🏽 kkk"
713698752654082048|371451306|-23.4058225|-51.968329|pt|Geotag|Sat Mar 26 12:06:57 +0000 2016|"Da massa, é fumaça, é uma raça, é uma praga, é o enxame, é a zika poha! 🎶🍃"
713699016656220160|40334635|-14.5462798|-52.7941088|pt|User profile|Sat Mar 26 12:08:00 +0000 2016|"@nelson_1jr Caralhooo. Precisamos erradicar essa zika, tá foda"
713699125179584512|64514647|-15.826691|-47.9218204|pt|User profile|Sat Mar 26 12:08:25 +0000 2016|"@Raiaum depois da zika, todo dia"
713699405753356288|491372477|-33.5139265|-70.6930841|pt|User profile|Sat Mar 26 12:09:32 +0000 2016|"@bullitadicta @Vale_C_I zika podria ser"
713699713724391425|1528879645|-20.1451261|-44.8916447|pt|User profile|Sat Mar 26 12:10:46 +0000 2016|"RT @assimdisseojoao: Dorga\nAides\nVômito na balada\nImpitima\nDeabo\n\nLussifer\nUnha com fungo\nIstupro\nZika no feto\n\nCoincidência????\n\nNÃO, FORA…"
713700191409278976|477811288|18.4860575|-69.9312117|fr|User profile|Sat Mar 26 12:12:40 +0000 2016|"Comprendre l’épidémie de virus Zika: Epidémiologiste à l’Institut Pasteur, Arnaud Fontanet fait le point sur cette épidémie commencée..."
713700375774146560|4321155753|-22.5077674|-44.0946129|pt|User profile|Sat Mar 26 12:13:24 +0000 2016|"Graças A Deus eu venci a Zika....Estou curada."
713700774962937856|3049943998|-20.6741197|-40.4997382|pt|User profile|Sat Mar 26 12:14:59 +0000 2016|"Que zika hj"
